ID,length,recency,frequency,monetary,L_score,R_score,F_score,M_score,lrfm_score,lrfm_segmentasi
0,422,66,16,1198,3,2,3,4,3234,At-Risk High Spenders
1,15,0,17,577,1,4,3,3,1433,High-Potential Newcomers
1000,479,48,23,964,3,3,4,3,3343,Champions
10001,698,98,6,100,4,1,1,2,4112,Dormant Accounts
10010,662,43,7,152,4,3,2,2,4322,Rebounding Customers
10022,141,78,3,16,1,1,1,1,1111,Explorers
10031,505,50,7,53,3,2,2,1,3221,Dormant Accounts
10032,163,86,7,53,1,1,2,1,1121,Explorers
10033,137,54,4,38,1,2,1,1,1211,Explorers
10037,57,66,15,1127,1,2,3,4,1234,High-Potential Newcomers
10057,346,70,21,1331,2,2,4,4,2244,High-Potential Newcomers
10061,541,29,23,1088,4,3,4,4,4344,Champions
10065,331,27,6,64,2,3,1,1,2311,Explorers
10067,324,79,3,13,2,1,1,1,2111,Explorers
10069,668,43,4,58,4,3,1,1,4311,Rebounding Customers
1008,556,31,23,1021,4,3,4,3,4343,Champions
10084,43,9,5,50,1,4,1,1,1411,Explorers
10089,451,5,28,1112,3,4,4,4,3444,Champions
10091,406,78,15,1067,3,1,3,4,3134,At-Risk High Spenders
10092,497,46,22,1504,3,3,4,4,3344,Champions
10095,425,9,19,1293,3,4,4,4,3444,Champions
10099,268,21,21,882,2,4,4,3,2443,High-Potential Newcomers
1010,67,94,5,78,1,1,1,2,1112,Explorers
10102,49,19,21,1478,1,4,4,4,1444,High-Potential Newcomers
10104,239,65,3,8,2,2,1,1,2211,Explorers
1012,497,26,20,884,3,3,4,3,3343,Champions
10120,249,84,10,257,2,1,2,2,2122,Explorers
10127,85,21,14,395,1,4,3,2,1432,Explorers
10128,387,21,22,907,3,4,4,3,3443,Champions
10129,110,35,20,1456,1,3,4,4,1344,High-Potential Newcomers
10133,138,16,25,2349,1,4,4,4,1444,High-Potential Newcomers
10140,275,27,16,1727,2,3,3,4,2334,High-Potential Newcomers
10141,416,1,3,20,3,4,1,1,3411,Rebounding Customers
10142,480,99,18,689,3,1,3,3,3133,At-Risk High Spenders
10144,613,84,14,576,4,1,3,3,4133,At-Risk High Spenders
10146,120,17,4,42,1,4,1,1,1411,Explorers
10150,221,10,18,1449,2,4,3,4,2434,High-Potential Newcomers
10151,656,38,21,946,4,3,4,3,4343,Champions
10156,392,56,19,1237,3,2,4,4,3244,At-Risk High Spenders
10157,156,78,11,274,1,1,2,2,1122,Explorers
10159,456,77,25,1185,3,1,4,4,3144,At-Risk High Spenders
1016,92,43,5,55,1,3,1,1,1311,Explorers
10160,374,49,4,46,3,3,1,1,3311,Rebounding Customers
10163,293,28,19,1323,2,3,4,4,2344,High-Potential Newcomers
10164,88,75,15,1691,1,1,3,4,1134,High-Potential Newcomers
10172,689,95,20,1538,4,1,4,4,4144,At-Risk High Spenders
10175,333,0,4,22,2,4,1,1,2411,Explorers
10176,675,44,16,416,4,3,3,3,4333,Champions
10177,501,4,17,1338,3,4,3,4,3434,Champions
10196,110,26,18,614,1,3,3,3,1333,High-Potential Newcomers
1020,49,70,18,1366,1,2,3,4,1234,High-Potential Newcomers
10203,365,77,4,42,3,1,1,1,3111,Dormant Accounts
10207,376,40,3,15,3,3,1,1,3311,Rebounding Customers
10212,533,43,6,100,4,3,1,2,4312,Rebounding Customers
10219,377,40,4,38,3,3,1,1,3311,Rebounding Customers
10232,237,9,12,331,2,4,2,2,2422,Explorers
10236,287,59,5,64,2,2,1,1,2211,Explorers
10240,496,10,20,1381,3,4,4,4,3444,Champions
10241,197,16,3,14,2,4,1,1,2411,Explorers
10242,287,39,6,75,2,3,1,2,2312,Explorers
10245,607,71,14,756,4,2,3,3,4233,At-Risk High Spenders
10250,587,49,3,28,4,3,1,1,4311,Rebounding Customers
10258,420,94,4,35,3,1,1,1,3111,Dormant Accounts
10260,308,74,12,311,2,2,2,2,2222,Explorers
10262,416,96,7,53,3,1,2,1,3121,Dormant Accounts
10264,628,60,4,31,4,2,1,1,4211,Dormant Accounts
10270,270,8,6,66,2,4,1,1,2411,Explorers
10277,494,27,4,42,3,3,1,1,3311,Rebounding Customers
10281,143,11,17,602,1,4,3,3,1433,High-Potential Newcomers
10286,147,2,23,926,1,4,4,3,1443,High-Potential Newcomers
1029,333,27,11,279,2,3,2,2,2322,Explorers
10299,598,73,22,882,4,2,4,3,4243,At-Risk High Spenders
1030,348,72,4,38,2,2,1,1,2211,Explorers
10304,549,77,4,60,4,1,1,1,4111,Dormant Accounts
10307,303,91,16,525,2,1,3,3,2133,High-Potential Newcomers
1031,421,5,25,1062,3,4,4,4,3444,Champions
10311,268,0,25,359,2,4,4,2,2442,Explorers
10313,610,69,10,254,4,2,2,2,4222,Dormant Accounts
10314,561,79,24,1318,4,1,4,4,4144,At-Risk High Spenders
10319,489,56,18,1286,3,2,3,4,3234,At-Risk High Spenders
10323,248,88,11,304,2,1,2,2,2122,Explorers
10339,372,83,9,207,3,1,2,2,3122,Dormant Accounts
10340,594,68,12,497,4,2,2,3,4223,Fading Loyalist
10341,127,45,9,222,1,3,2,2,1322,Explorers
10343,639,27,17,1345,4,3,3,4,4334,Champions
10350,417,37,4,38,3,3,1,1,3311,Rebounding Customers
10352,661,2,6,117,4,4,1,2,4412,Rebounding Customers
10356,646,5,4,32,4,4,1,1,4411,Rebounding Customers
10364,352,72,3,20,2,2,1,1,2211,Explorers
10377,389,37,12,397,3,3,2,3,3323,Rebounding Customers
10379,234,87,16,574,2,1,3,3,2133,High-Potential Newcomers
10380,283,50,6,106,2,2,1,2,2212,Explorers
10381,360,43,3,21,3,3,1,1,3311,Rebounding Customers
10383,454,30,20,1093,3,3,4,4,3344,Champions
10390,505,27,4,30,3,3,1,1,3311,Rebounding Customers
10394,189,91,17,1479,2,1,3,4,2134,High-Potential Newcomers
10395,677,25,7,101,4,3,2,2,4322,Rebounding Customers
10398,672,82,3,31,4,1,1,1,4111,Dormant Accounts
10401,299,12,3,18,2,4,1,1,2411,Explorers
10402,501,94,4,39,3,1,1,1,3111,Dormant Accounts
10403,12,43,6,44,1,3,1,1,1311,Explorers
